perturbation,text_id,крупный,мелкий,средний
add_punctuation,coling::9e189795-5152-41d4-9713-20ef5189d721,5.86,45.42,-9.78
add_punctuation,coling::a098aa01-9d81-40a6-8321-ca3d4a8803ee,-6.12,36.88,-15.53
add_punctuation,coling::a0b0f9d5-62dc-4996-9de4-5e5f9b3bcf06,-8.58,34.55,-12.58
add_punctuation,coling::a1534ce8-2639-4c7c-b509-3d430b55cf97,12.49,40.35,4.77
add_punctuation,coling::a2ab68ca-fbd4-4698-8f7c-6b33ea5e9aa2,-3.67,27.47,-13.5
add_punctuation,coling::a31907c5-c035-4dca-ba29-cb4c6fe3b03f,-3.89,16.88,-11.91
add_punctuation,coling::a3c20aed-e22b-4f5a-ac3a-784b5d941b8f,-15.48,15.27,-21.12
add_punctuation,coling::a9b058a8-5ce8-448f-820a-6ffba6409219,22.77,33.21,-1.31
add_punctuation,coling::aa7ddd1b-2f96-496d-ba44-143371216bbe,1.0,17.02,-12.18
add_punctuation,coling::ab8e7c37-fe1e-4b22-8440-e3a25a67f527,-8.86,30.02,-11.07
add_punctuation,coling::ae050f0f-463e-4780-8638-108ef778c14e,16.76,3.3,4.53
add_punctuation,coling::b1217276-7bc0-4410-b466-8118c7036ee5,-3.21,22.85,-6.64
add_punctuation,coling::b21c6524-7e1a-4589-933c-d0152005962d,-0.06,57.35,-8.23
add_punctuation,coling::b27b582c-94a8-4076-8b94-e286cb9f2ca1,0.69,28.81,-8.27
add_punctuation,coling::b535c4fe-fe84-4ce7-af76-446c58fe22a2,0.45,13.99,0.75
add_punctuation,coling::b53b4239-d0ed-4e79-b84e-c3496abd88eb,-2.07,26.36,-15.64
add_punctuation,coling::b53fdf6a-f822-4baa-8af9-8f0d42fe78ea,26.82,46.62,-8.8
add_punctuation,coling::bb048a1e-39f8-4c80-9db0-70176b1cc508,10.14,18.6,9.07
add_punctuation,coling::bd4df89c-701f-407b-9fc6-2c51aa5be36c,10.66,49.35,6.43
add_punctuation,coling::be76162e-6297-4c2c-be8b-8be691cc5a5e,-13.65,19.69,-10.04
add_punctuation,coling::c0381ae0-3b9c-40a4-bc53-f4a76564adb9,-7.7,13.94,-3.89
add_punctuation,coling::c5dd6ecd-4882-4b86-be71-efecfae71001,-6.35,38.47,-8.65
add_punctuation,coling::c7e45e24-dc16-40b2-9030-8200e20e46f4,-7.54,6.67,-10.19
add_punctuation,coling::c986a4de-fede-44ef-b275-ef7634245f1b,-20.98,56.98,-16.35
add_punctuation,coling::cbaa1dc4-0458-47d8-b3a6-f6f1b4b4c270,-6.34,24.69,-7.79
add_punctuation,coling::ce094fc2-a215-4a99-a6f1-dc2a198dfd49,-11.81,21.28,-19.29
add_punctuation,coling::d2400f57-c1e4-49a6-aaa9-1c92f1814051,-8.85,45.26,-10.4
add_punctuation,coling::d8e4451f-f606-413a-a2c5-5f2b5e9c789f,-5.74,51.0,-13.31
add_punctuation,coling::d9b96a87-ee9b-46e9-995f-edfccd85de77,-7.17,20.29,-9.39
add_punctuation,coling::da2d8730-7c13-4b32-befb-c2bbe666088c,-0.49,39.15,-8.4
add_punctuation,coling::dc12cc52-6173-4721-b8be-42699b3cf392,3.15,37.73,-14.62
add_punctuation,coling::dc1c93ce-9792-4a14-bd29-c025f2613860,-5.36,16.16,-12.17
add_punctuation,coling::df393828-70be-448f-bbdb-11367e15a5fb,16.65,48.16,1.13
add_punctuation,coling::ef2146c2-c9fe-4563-b26a-b39f1bb94bdd,-12.89,40.37,-10.81
add_punctuation,coling::ef4cca12-c45c-4b1b-9c67-8db766ad0259,4.07,26.43,-4.26
add_punctuation,coling::efafda31-a3f3-48d6-9d8f-b2b5d4b1143b,-0.26,12.52,-13.2
add_punctuation,coling::f05692cf-092b-40e0-9f4a-d3f7ccd65bf8,-13.13,8.27,-11.93
add_punctuation,coling::f249dac3-f3a2-4db9-9758-e18c9f8ff33e,-8.74,30.59,-13.44
add_punctuation,coling::f2d66835-0de6-4a50-b3da-a170f0608965,24.36,50.31,6.83
add_punctuation,coling::f3328e08-1b91-430d-bea9-e5b836b0102f,-5.72,32.47,-9.51
add_punctuation,coling::f4961832-eeb4-41fc-8a64-82c3010783ae,-12.35,19.93,-6.57
add_punctuation,coling::f4f3b137-0da5-4cc5-a8e0-08f5a2849b41,-8.37,10.37,-20.57
add_punctuation,coling::fedf3b3b-fd89-4a69-bc59-0ff4e485de6a,-6.28,28.74,-14.19
add_typos,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,-12.08,10.38,1.71
add_typos,coling::0303abd4-4ede-45e6-94d9-7e4d99699a27,-3.06,7.78,-2.97
add_typos,coling::040c1d28-4583-4101-87e6-0631f517d0b5,-4.79,-4.84,-2.8
add_typos,coling::049da962-b4ab-4271-80d7-6c08dd7157b9,-9.14,-1.02,-0.46
add_typos,coling::07106895-c293-4117-be28-f75985334b33,-10.26,5.64,-5.32
add_typos,coling::0a6f4d1d-1792-4bfc-a4cf-9fcf063648e1,1.58,21.88,3.33
add_typos,coling::0b4651e6-8f56-467b-81ae-810fa7819810,-5.82,14.61,3.9
add_typos,coling::0c653e8b-8157-47f3-bdaa-142023fb5739,-3.2,21.47,9.59
add_typos,coling::108b67b9-1113-4b28-81da-e218ced4ceb9,10.68,8.74,6.99
add_typos,coling::1770be09-c92d-43e3-ab15-7b7318ca2f96,-10.15,-2.89,-2.96
add_typos,coling::17ad7e76-2fa1-4c9b-a42b-44a53287fb2e,-1.8,-1.08,-1.95
add_typos,coling::1a16d27a-89fc-4df9-8b4f-cf2532a8cec8,7.44,6.75,5.42
add_typos,coling::1c1fb589-36fc-45ac-bccc-1e9cced6c731,3.35,-7.19,6.47
