текст,условие,проекция,"доля > 0, %"
8,маркер каждые 3,0.019531286830160293,51.578947368421055
8,маркер каждые 3 [случайная ось],0.01348873752593266,70.52631578947368
8,без пунктуации,0.1036842419830164,94.8051948051948
8,без пунктуации [случайная ось],0.004395063089815402,64.93506493506493
8,без служебных,0.07790946319192817,98.55072463768117
8,без служебных [случайная ось],0.0027583528225852186,60.86956521739131
9,исходный,-0.014061374759055764,34.24657534246575
9,исходный [случайная ось],0.002301483523913246,61.64383561643836
9,перемешивание,0.23262508139184973,100.0
9,перемешивание [случайная ось],-0.005565151567677421,37.333333333333336
9,эхо x2,0.014585788495732107,55.26315789473685
9,эхо x2 [случайная ось],0.0013677257385151602,48.68421052631579
9,эхо x4,-0.05077141468505005,18.571428571428573
9,эхо x4 [случайная ось],-0.009334606913990797,27.142857142857142
9,эхо на четверти,-0.007218470334304742,46.96969696969697
9,эхо на четверти [случайная ось],-0.005867357224065242,33.33333333333333
9,словарь к 25,0.0009920052154206757,48.68421052631579
9,словарь к 25 [случайная ось],-0.022339595452968142,13.157894736842104
9,словарь к 60,0.002170753011790193,50.0
9,словарь к 60 [случайная ось],-0.006603474527683056,27.142857142857142
9,все слова разные,0.25432999855719995,100.0
9,все слова разные [случайная ось],0.003332278962799927,60.3448275862069
9,чужие хапаксы,0.08549708920984678,88.46153846153845
9,чужие хапаксы [случайная ось],0.002274462358352506,61.53846153846154
9,хапаксы одного домена,0.08023691163841086,84.21052631578947
9,хапаксы одного домена [случайная ось],0.0038977344917043104,63.1578947368421
9,20 чужих хапаксов,0.031604077338433595,70.27027027027027
9,20 чужих хапаксов [случайная ось],0.004324599643086124,58.108108108108105
9,маркер каждые 3,-0.01641649495990501,51.48514851485149
9,маркер каждые 3 [случайная ось],0.008097474462068628,60.396039603960396
9,без пунктуации,0.05267484514621033,82.35294117647058
9,без пунктуации [случайная ось],-0.0037179158711116472,38.82352941176471
9,без служебных,0.14474749284965943,100.0
9,без служебных [случайная ось],-0.005046881430296257,41.66666666666667
10,исходный,-0.014745679116159049,34.69387755102041
10,исходный [случайная ось],-0.0012611243224639641,53.06122448979592
10,перемешивание,0.3183275146219532,100.0
10,перемешивание [случайная ось],-0.012188676462371113,24.444444444444443
10,эхо x2,0.05212092330729001,83.92857142857143
10,эхо x2 [случайная ось],-0.006229899207694697,26.785714285714285
10,эхо x4,-0.010502895998953815,44.0
10,эхо x4 [случайная ось],-0.009472122938839991,34.0
10,эхо на четверти,0.011855662353164766,65.38461538461539
10,эхо на четверти [случайная ось],-0.00046880132100516036,38.46153846153847
10,словарь к 25,0.11520252072662035,92.10526315789474
10,словарь к 25 [случайная ось],-0.03171667248244343,0.0
10,словарь к 60,0.08456777418106343,88.88888888888889
10,словарь к 60 [случайная ось],-0.02407817709632794,8.88888888888889
10,все слова разные,0.1763553529915703,100.0
10,все слова разные [случайная ось],0.0009473833018857572,56.81818181818182
10,чужие хапаксы,0.16939704573864822,100.0
10,чужие хапаксы [случайная ось],0.0011833109554823958,52.63157894736842
10,хапаксы одного домена,0.19536224160965446,100.0
10,хапаксы одного домена [случайная ось],0.0003071099220132402,51.28205128205128
10,20 чужих хапаксов,0.019242466777452533,71.42857142857143
10,20 чужих хапаксов [случайная ось],-0.0013302395565847973,47.61904761904761
10,маркер каждые 3,-0.045116902427074376,51.470588235294116
10,маркер каждые 3 [случайная ось],0.009220642790149733,67.64705882352942
10,без пунктуации,0.1267142452137624,96.72131147540983
10,без пунктуации [случайная ось],-0.0025898091441177206,44.26229508196721
10,без служебных,0.07565580869654998,93.54838709677419
10,без служебных [случайная ось],-0.007495599735144167,25.806451612903224
11,исходный,0.017632763402035085,64.28571428571429
11,исходный [случайная ось],-0.0035286101937030624,35.714285714285715
11,перемешивание,0.36158942386972764,100.0
11,перемешивание [случайная ось],-0.005075550148879592,37.2093023255814
11,эхо x2,0.07875725675554095,85.71428571428571
11,эхо x2 [случайная ось],0.003616203216318173,48.57142857142857
11,эхо x4,-0.006385843314268765,48.148148148148145
11,эхо x4 [случайная ось],0.006266506852118037,66.66666666666666
11,эхо на четверти,0.03276860411886895,65.71428571428571
11,эхо на четверти [случайная ось],-0.0005423509730082939,42.857142857142854
11,словарь к 25,0.13935877020294377,97.95918367346938
