mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q_small,0.6,27.840945921299042,1.7636975296055248,0.9640816801689567,2.5942988919516257,0.9999665788537301,0.0029541443775356084,0.004983294368442692,0.002275391509062506,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_small,0.8,29.23543908494155,3.8182376285450887,0.9657949382222525,1.9383959908426018,0.9998716449157259,0.005799883833892886,0.01112089227458224,0.004467285529286794,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_large,0.0,10.213511619700501,0.5826508543860407,0.9020904819777036,3.6259624179445713,0.9997700319038298,0.0072515992700169975,0.010043067878332756,0.005585450572962612,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_large,0.2,7.5892013282101995,0.5802931432178007,0.868233828995569,3.50024406148589,0.9991926949376094,0.013080696656963651,0.029916991167756812,0.010075237463751427,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_large,0.4,5.925889855998501,0.1684905921691356,0.8312489728462052,3.3073028173817387,0.9998001338665553,0.006229369471662192,0.00980470112044518,0.004798091288435171,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_large,0.6,4.583615888500866,0.3447227812437762,0.7818316315490687,3.0077963819563562,0.9973643622023561,0.021302429477736456,0.04523850811676855,0.01640792086014425,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_large,0.8,3.494537180518124,0.3131984780559365,0.7138390727175685,2.340980257156112,0.9923143515589834,0.033297827221391005,0.06136865659240076,0.02564722086907217,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q0.5_range,0.0,5.920662885061414,0.4077802253441237,0.8310999934613525,3.0738147720011524,0.9988258989511666,0.015102925422994896,0.023098464218015202,0.011632833022925813,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q0.5_range,0.2,9.777237709322664,0.8766870925368474,0.897721623455417,2.9866796182161877,0.9993742216275505,0.011906602303767303,0.025772831465538104,0.009170906469499267,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q0.5_range,0.4,16.007651155589393,0.48236302224406385,0.9375298730413156,2.8860044028429384,0.9999758115474612,0.002443961545923844,0.004135659114509416,0.0018824297797893801,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_small,0.0,14.876527553614606,1.5218462942498945,0.9327800122443879,3.501101250127665,0.9996740233494569,0.008912114634323648,0.022278278695962328,0.00687650319583791,8,20,100,scaled_L,xsum,xsum_1,100,1
q_small,0.2,18.862896916004463,1.6457623599118303,0.9469858736729067,3.293265886710352,0.9998568791939746,0.00599177320905922,0.010226259688093542,0.004625411146615228,8,25,125,scaled_L,xsum,xsum_1,125,1
q_small,0.4,19.10877056197963,1.4825451357874055,0.9476680094746817,3.0455007644397227,0.9998898775547301,0.005266680995185158,0.009306285597745934,0.0040601533074949275,8,33,167,scaled_L,xsum,xsum_1,167,1
q_small,0.6,21.233316415615835,0.7627106571793696,0.9529042010948153,2.6483323035722757,0.9999810899421439,0.0021798751771505286,0.00361101940707087,0.0016917031249505368,8,50,250,scaled_L,xsum,xsum_1,250,1
q_small,0.8,21.16208895355696,1.5509000897266754,0.9527456858255046,2.0001221918240177,0.999920732284578,0.0044756526045048,0.00638158852367976,0.0034631136961022616,8,100,501,scaled_L,xsum,xsum_1,501,1
q_large,0.0,14.876527553614606,1.5218462942498945,0.9327800122443879,3.501101250127665,0.9996740233494569,0.008912114634323648,0.022278278695962328,0.00687650319583791,8,20,100,scaled_L,xsum,xsum_1,100,1
q_large,0.2,9.541960738163343,0.6157440330426961,0.8951997364650148,3.366177798191376,0.9996576955102465,0.00876052201970367,0.01534339562085485,0.006762775356523849,8,25,125,scaled_L,xsum,xsum_1,125,1
q_large,0.4,6.982520247332538,0.40624475418321865,0.8567852344743261,3.192704946296242,0.9994328634374506,0.01080831367005379,0.022211384957151914,0.008332270463320276,8,33,167,scaled_L,xsum,xsum_1,167,1
q_large,0.6,4.529290854813655,0.46726814853202353,0.7792148854964311,3.0262198484730303,0.9948993277082598,0.029350346438291458,0.05124698322655785,0.022777484375478007,8,50,250,scaled_L,xsum,xsum_1,250,1
q_large,0.8,4.068373525415555,0.25118831373681266,0.7542015270346011,2.133876099153946,0.9975765266966592,0.019613152771574452,0.03734984862700319,0.015176016547535571,8,100,501,scaled_L,xsum,xsum_1,501,1
q0.5_range,0.0,5.602463206779862,0.33165687656292686,0.82150708302915,3.1196896968402865,0.9990083470611986,0.013672433985302846,0.021742232930849426,0.010566495690595267,8,40,200,scaled_L,xsum,xsum_1,200,1
q0.5_range,0.2,12.101230411741156,1.3898409595442993,0.9173637749240974,2.893180193458892,0.9993581975822108,0.012294836447932134,0.019403130524466405,0.009490870468938217,8,40,201,scaled_L,xsum,xsum_1,201,1
q0.5_range,0.4,17.512096851734693,0.8995572226499619,0.9428966154957655,2.8614776192999214,0.9999419365459588,0.0037954856071966098,0.008147754469006507,0.0029332730628116475,8,40,200,scaled_L,xsum,xsum_1,200,1
q_small,0.0,13.820711593785887,1.6212836342164165,0.9276448254336178,3.5260496748850203,0.9994979279143419,0.011000471622525326,0.0234055982942456,0.00848785965753687,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_small,0.2,22.03317480398968,1.4459909085973301,0.9546138943254368,3.2668823306641155,0.9999415891959491,0.0038603307593246864,0.005171778169508201,0.0029785946313180666,8,20,100,fixed_L_small,xsum,xsum_1,100,2
q_small,0.4,30.72592879638295,4.522218966945622,0.9674541978331435,2.963495278548332,0.9998529348925769,0.0062080422294948185,0.01011321609393967,0.0047900665535208975,8,20,100,fixed_L_small,xsum,xsum_1,100,2
