текст,условие,"радиус, абс","каркас: парная, абс","каркас: ребро MST, абс","каркас: до ближайшего, абс","облако: парная, абс",r / ребро каркаса,норма вектора
23,чужие хапаксы,8.174985567728678,29.232814444030506,22.24539394114484,21.874134466468842,30.46346726217521,0.3675103660753946,37.94909922281901
23,без пунктуации,7.989976247151692,27.093942221489357,20.938695929832242,20.630915009618736,28.01057773170231,0.3816161407474971,37.321170806884766
24,исходный,8.394625981648764,31.67980671035593,24.056085294906904,23.68676880132198,32.68003819501773,0.3489808951338875,37.57290013631185
24,перемешивание,8.633185068766275,29.45679786604965,22.526817594652886,22.169071169426996,30.87838521381038,0.38320883472523404,37.3055674235026
24,эхо x4,6.600277264912923,34.48925950759878,27.136372954664495,26.77270664679017,35.086916452850424,0.24323592116597545,37.089586893717446
24,чужие хапаксы,7.9481461842854815,29.73632421512606,22.245232484560933,21.94233680560802,31.042049050524685,0.3573875320106476,37.51946894327799
24,без пунктуации,8.359285036722818,28.70587473675116,22.366706318644773,22.05160340987548,29.708761957073744,0.3737039155206747,37.082157135009766
25,исходный,8.83024787902832,33.95867577896007,25.679203392010226,25.098273966090446,35.33979994782596,0.34387577553633397,37.94799296061198
25,перемешивание,9.366177558898926,31.02936439091532,24.114666451296745,23.65597493946601,32.05550374825459,0.38843355605877666,37.4432118733724
25,эхо x4,6.911088784535726,33.39462723582113,26.702687567595913,26.238765739516463,34.068457381035024,0.25883369980074183,37.51690673828125
25,чужие хапаксы,8.417346159617106,31.863782182330652,24.00713437024974,23.438654229162626,33.45756759477041,0.3507610058255109,37.62078348795573
25,без пунктуации,8.787091890970865,31.293848676307054,24.491226431813235,24.086260933175705,32.214219586399686,0.35877241800024756,37.45846048990885
26,исходный,8.240810871124268,33.457934880208235,25.279395811468873,24.597224241468613,34.31728554230722,0.3262041399326079,37.59584172566732
26,перемешивание,8.799164454142252,30.508835778102057,23.26329988451892,22.65226152541655,32.297193088210015,0.3782572212167543,37.396324157714844
26,эхо x4,6.239846547444661,33.371629758002236,26.453046491864047,25.678933477326883,34.23673540113108,0.23589008707842038,37.14022699991862
26,чужие хапаксы,8.58260440826416,30.118807832519494,22.961604763701715,22.441629691069483,31.81968095228832,0.37376150899068944,37.71114730834961
26,без пунктуации,8.995343526204428,30.669082525277712,23.7984468276138,23.338830080523312,32.03755120592237,0.3781496336775693,37.46899922688802
27,исходный,9.69506581624349,34.04026849749229,26.10521791438997,25.651226803954916,34.4786896731237,0.3714066812346641,38.18583297729492
27,перемешивание,9.54230817159017,31.998402691356233,24.724067896726055,24.359348991392693,33.325345894120915,0.3859723906901931,37.77648417154948
27,эхо x4,6.326044241587321,34.80314549752883,27.713189256636,27.35033941912177,35.54294655958401,0.22828213049034254,37.17059834798177
27,чужие хапаксы,9.550861676534018,31.153021646245232,23.709310880412158,23.377832368531347,33.02964614334846,0.40283697412906605,38.06179428100586
27,без пунктуации,8.720075289408365,31.504321900321955,24.680895531676768,24.318491167850123,32.215940694255636,0.3532238381720427,37.570353190104164
28,исходный,7.923955758412679,35.3379418969404,25.87234848290232,25.16818220400046,35.55674784230674,0.3063087401065928,37.78610483805338
28,перемешивание,8.572338422139486,32.1560970233084,24.273163439533874,23.66738036596813,33.36384993128863,0.3532409257055158,37.419968922932945
28,эхо x4,4.735485235850017,34.36810641790124,27.072102142760972,26.389764836617825,34.71144708379102,0.17493012833547025,36.93425750732422
28,чужие хапаксы,7.993442376454671,33.43989899660903,24.612514131700397,23.97402478858889,34.6038861696258,0.3247789100839747,37.42397689819336
28,без пунктуации,8.64913018544515,31.665674621051423,23.80832236866405,23.344484756186024,32.7897299757702,0.36329257203958054,37.450784047444664
29,исходный,8.717157681783041,31.771965809540035,24.403658419750354,24.00733652010348,32.98740110152584,0.3572565289628143,37.97666041056315
29,перемешивание,8.872913678487143,30.52998983059507,23.031867514972575,22.594013086881564,32.12543892820185,0.38528122266377335,37.595968882242836
29,эхо x4,5.8580044110616045,34.77324479443322,27.418251970735938,27.07762924031434,35.32210185475352,0.21366354310480676,37.63337326049805
29,чужие хапаксы,7.947479406992595,30.209669705976456,22.946608296544614,22.626625716517413,32.130986037641826,0.3463267868960063,37.96437072753906
29,без пунктуации,8.66500473022461,28.33268167950367,22.13899071171889,21.799832543888996,29.364124726536563,0.3914167153554409,37.31302388509115
30,исходный,8.73504638671875,34.168826331615286,25.54963943596721,24.973983092243014,35.312949699432714,0.34186341267847203,38.063489278157554
30,перемешивание,8.907299677530924,30.685916386108953,24.004923858899904,23.70293470573934,33.37770660095458,0.37118767505234374,38.17231750488281
30,эхо x4,7.473791599273682,34.980355657108966,27.67618881987221,27.178031566132784,36.25097164083292,0.269869373783563,37.78647486368815
30,чужие хапаксы,8.303228060404459,32.17187421391839,23.921429726722668,23.547055820123404,34.35788214572546,0.34698313820072824,38.13776779174805
30,без пунктуации,9.114808400472006,31.239908125039932,24.208562423617394,23.868777143072503,32.79317343573593,0.3764673929219547,37.38326899210612
31,исходный,9.161290804545084,30.46379900960268,23.633671072547973,23.22662758020698,31.611749619899282,0.3876669732854874,37.78520711263021
31,перемешивание,9.305527369181315,29.357130187664097,22.594090697395767,22.263184036667145,30.728819260870225,0.41181713285765914,37.24224726359049
31,эхо x4,5.792459487915039,33.174437748508424,26.270500546258123,25.89632092372167,33.892203861007495,0.2204953692176498,37.01949946085612
31,чужие хапаксы,8.39214293162028,28.477024262946685,22.044727744513306,21.744698260871164,30.134299533121588,0.38066866327678844,37.6729736328125
31,без пунктуации,8.306740919748941,28.081851481987997,21.758212199600194,21.409170582714196,28.85741620354702,0.381976716441424,37.157614390055336
32,исходный,9.666534423828125,33.794544225014754,25.710776401152927,25.259910995919114,35.46094535458232,0.37596164978657615,37.75286992390951
32,перемешивание,9.242613156636557,29.776014428667523,23.137684612089064,22.78003307572699,32.178947850545285,0.3995333194837793,37.52406692504883
32,эхо x4,7.012984116872151,34.96617326147241,26.88785105042345,26.174440440680556,35.89675383847674,0.26085330911052074,37.31617991129557
32,чужие хапаксы,9.461342175801596,32.86227140818135,24.779474826950075,24.35387720435173,35.61937413103856,0.3818195920806606,37.810412089029946
32,без пунктуации,9.526043574015299,31.811530197056243,24.430468073097757,23.974465486814562,33.98726950042556,0.3899204595730917,37.499979654947914
