токен,класс,норма,лог_ранг,степень,черешок,отн_черешок,лист,длинный лист,hapax в тексте,один в выборке,текст
Ċ,пункт,39.96543,2.1972245773362196,2,8.094523984858132,0.40945415856870165,False,False,False,False,0
Ċ,пункт,39.348656,2.1972245773362196,5,8.704653553440876,0.44031700974923477,False,False,False,False,0
$,пункт,39.374226,6.089044875446846,5,28.191359210783112,1.426034351884316,False,False,False,False,0
Ġnot,служ,39.99465,3.4965075614664802,1,26.782990534228503,1.3547932989833789,True,True,False,True,0
Ġprove,смысл-редк,36.408245,7.564238475170491,2,23.198355582894237,1.173467789228866,False,False,True,True,0
We,подслово,37.879757,6.035481432524756,1,16.568623118694127,0.8381087819861148,True,False,True,True,0
Ġdynamic,смысл-редк,34.99153,8.133587417660966,2,20.676245572056462,1.0458891404736015,False,False,False,False,0
Ġstronger,смысл-редк,36.850136,8.386856689688234,1,27.725200756150112,1.4024541490016649,True,True,False,True,0
Ġevery,служ,36.734734,5.69035945432406,4,30.002467243916456,1.5176476100784762,False,False,True,True,0
$,пункт,38.57531,6.089044875446846,1,11.618974732582277,0.5877353049370034,True,False,False,False,0
ad,подслово,36.481853,6.403574197934815,1,9.097505230406712,0.4601890557318336,True,False,False,False,0
ĠV,смысл-част,36.221294,5.54907608489522,2,17.687870559103814,0.894724899227894,False,False,False,False,0
Ġmost,служ,38.178192,4.852030263919617,2,25.191749523599405,1.2743018148261955,False,False,False,False,0
Ġa,служ,39.06278,1.9459101490553132,1,14.981158336481382,0.757808314920446,True,False,False,False,0
Ġguarantees,смысл-редк,37.232006,9.192787212728593,1,26.57061026573046,1.3440502356115076,True,True,False,True,0
Ċ,пункт,39.58728,2.1972245773362196,1,6.276279154447362,0.31747989195334597,True,False,False,False,0
Ġ$,пункт,37.899662,5.480638923341991,3,9.51323215928187,0.48121822559720795,False,False,False,False,0
Ġde,смысл-част,36.59647,6.844815479208263,1,24.324749187709653,1.2304453887195352,True,False,True,True,0
Ġprovide,смысл-част,36.78682,6.616065185132817,3,25.48604487675435,1.2891884785042758,False,False,True,True,0
/,пункт,37.50509,5.19295685089021,2,25.91274010477769,1.310772469839949,False,False,True,True,0
Ċ,пункт,38.89787,2.1972245773362196,1,8.704653553440876,0.44031700974923477,True,False,False,False,0
Ġadvers,смысл-редк,35.53103,9.19339765124587,1,24.09029294159583,1.2185856320305328,True,False,True,True,0
Ċ,пункт,40.389816,2.1972245773362196,2,8.940139206343424,0.45222883804754876,False,False,False,False,0
Ġborder,смысл-редк,37.104458,8.59007183682881,1,25.50238522066459,1.2900150399894237,True,False,True,True,0
Ġ+,пункт,36.366287,7.664815785285735,1,18.7995090235015,0.9509561233151911,True,False,False,True,0
set,подслово,36.26266,8.2987883944492,1,9.391167766845426,0.4750437089499341,True,False,False,False,0
INF,подслово,37.243507,9.411238314343073,2,26.420214858501247,1.3364426202613242,False,False,False,True,0
Ġcircumvent,смысл-редк,37.07921,9.41033811378308,1,27.896235333790056,1.4111057780788925,True,True,True,True,0
ĠV,смысл-част,35.86871,5.54907608489522,1,12.99796833084301,0.6574904461292091,True,False,False,False,0
Ġthat,служ,39.500168,2.3978952727983707,1,9.995897532737136,0.5056334160059417,True,False,False,False,0
Ġnetwork,смысл-част,34.22879,6.513230110912307,6,34.320802960671806,1.736086707995637,False,False,False,False,0
Ġagreement,смысл-редк,35.264507,7.3098814858247865,4,24.354510212250176,1.2319508231693161,False,False,False,True,0
Ġis,служ,39.41856,2.302585092994046,2,19.76676703246954,0.9998839929368892,False,False,False,False,0
k,подслово,35.563267,5.950642552587727,3,30.621447774588034,1.5489581791534013,False,False,False,False,0
Ġtermination,смысл-редк,37.860817,9.68719547617102,2,23.713943975378175,1.1995483607124033,False,False,True,True,0
Ġis,служ,39.67371,2.302585092994046,1,19.76676703246954,0.9998839929368892,True,False,False,False,0
uniform,подслово,36.6813,9.410911062438,3,24.49320983915007,1.2389668180730713,False,False,True,True,0
Ġthat,служ,40.823803,2.3978952727983707,2,12.132503122813082,0.6137116730738358,False,False,False,False,0
),пункт,41.253433,3.4011973816621555,1,19.089474054033715,0.9656237415485809,True,False,False,False,0
Ċ,пункт,38.844273,2.1972245773362196,1,7.216452193415616,0.3650376929185219,True,False,False,False,0
ible,подслово,38.232697,7.813995675002791,2,27.87595377257505,1.4100798536888624,False,False,True,True,0
Ċ,пункт,40.09419,2.1972245773362196,1,8.940139206343424,0.45222883804754876,True,False,False,False,0
Ġof,служ,39.71168,1.6094379124341003,2,24.58475369841605,1.2435974812149684,False,False,False,False,0
Ġcontains,смысл-редк,38.00548,8.064321960910803,1,26.629133326089562,1.3470105715720937,True,True,True,True,0
-,пункт,37.73367,2.772588722239781,2,26.883053182418585,1.3598548773412251,False,False,False,True,0
