текст,зерно,исходный: крупный,исходный: мелкий,исходный: средний,маркер: крупный,маркер: мелкий,маркер: средний,маркер без маркера: крупный,маркер без маркера: мелкий,маркер без маркера: средний
42,1,15.61973988949915,3.0939808018773483,12.844248247014125,16.393448881075447,6.367991192471346,12.397967255333452,14.819990133671926,3.9304114645763817,13.65922082643813
42,2,13.298413288282811,3.6167347712371885,12.149892535676916,16.073693169323366,6.63012016449119,10.726891473207811,15.154566874412609,4.08424555756049,13.839487198465525
43,0,16.316386590196498,3.051706228309444,14.139151849251903,18.227529181001856,7.147040174531727,14.514340924309897,17.15835574272028,4.448085935239759,15.927692395465721
43,1,15.889466091943607,3.2068348611646313,14.139872206713827,18.680631776545567,6.606216092705834,14.734143185139766,16.835973036856345,4.578202896010693,16.272998849873158
43,2,16.495402817819837,3.113590341259189,14.603012178741938,17.986742984027693,7.439952956642678,14.53177193173795,19.041373944892065,4.084394168776091,17.507024647732052
44,0,12.830383306891257,3.3345294859450196,11.564654529779798,16.468026724806275,5.884782414789174,10.454158490639891,16.05317529938796,3.915504929955961,13.099493057333916
44,1,12.42574035943581,3.038092873689583,11.453373140783828,16.201552210727044,5.319407352518446,10.454611035811832,16.076563211223252,3.6215097552225246,13.02658339554948
44,2,12.757949712512563,3.1106870071117507,11.463627225836628,14.241597958991356,5.514965928220027,9.516643620640192,15.859301653911395,3.4785140125663747,12.653934072405937
45,0,13.263211633910194,2.7446099600363447,9.30755661562559,14.697518916443714,4.284853004251928,7.804384231850769,13.411424201721093,3.455131480589644,8.59647950663654
45,1,13.794898060965616,3.0296086893720675,9.639031556053515,13.878990969316089,4.129711330567348,7.687994099576803,13.688715167996683,3.1717576340472244,8.999760797057727
45,2,14.550155680104288,2.7203968218764842,9.74188338056953,13.526027474376004,4.08583047023027,7.74461538170033,13.749192883562996,3.2984114980292456,9.004846600710257
46,0,24.261100099362007,3.7054174529709556,17.468700047802844,19.47434838518376,5.356252210200757,11.823853658436771,19.740858061241408,4.4025937697290125,16.27197641039165
46,1,24.092577776831728,3.8978829459098447,17.41741280991519,20.26699017967488,6.096847349197479,12.404633187960835,19.35445040341387,4.034687687454094,15.809226203900545
46,2,22.594904929450223,4.153767945330675,16.545801086919123,18.753750849865444,5.763754715159537,12.219507509317962,19.463328693795884,4.297994297417624,15.813456410813966
47,0,18.38736994645226,3.0711657213504373,14.647471862105814,16.914346240056386,5.472645201677074,12.146360715258513,17.433053587919755,3.5614781807524762,14.51777570551857
47,1,16.9226942028392,3.2339107063873156,14.19130726811469,18.82781483256345,5.363912821430907,12.765435188673047,16.53448022715778,3.6807932983704723,14.421782155298777
47,2,16.375092468758183,3.1223168893569127,13.750071247323271,16.836161831313948,5.217197255878672,11.856901191912394,14.592686564952045,3.6540992652180764,13.74036347585099
48,0,17.410625580894806,3.4453053588036133,16.564860987500982,17.659341203624468,6.183920084490012,14.515805367566031,16.25925323311867,4.740098836252413,15.285083671330508
48,1,18.076005063095977,3.8744145441161284,15.854490812785732,18.093069901544474,6.035363100039248,14.21950534119945,17.09735516609449,4.760837398914933,15.326137021283179
48,2,19.794181635174837,3.8932271572067956,17.11419406512418,16.03184423203024,6.847864618062109,13.273982984062888,16.27472955729218,4.960238980452411,14.87492121767383
