mode,q,mean_d,cv_within,cv_between,rel_resid,rel_dse,variant
q_large,0.0,10.031665419688052,0.0853607360106646,0.12190508085746403,0.0058157078532671954,0.08498882505249966,grid_wide
q_large,0.3,7.574789066685109,0.09440937575013264,0.1256130325704394,0.008526611708590322,0.08940661480469678,grid_wide
q_large,0.5,5.7035179531672835,0.10400247847561073,0.133971497974607,0.013007142607928528,0.09612093200783033,grid_wide
q_large,0.6,4.741449600063965,0.10701081849151367,0.13644465203030526,0.01676343218699562,0.09779258640875972,grid_wide
q_large,0.9,3.108167517564303,0.17458962927182356,0.1327273861929091,0.04262343239527956,0.1303048746089768,grid_wide
q_small,0.0,10.031665419688052,0.0853607360106646,0.12190508085746403,0.0058157078532671954,0.08498882505249966,grid_wide
q_small,0.3,16.699186121722086,0.10485011591724337,0.1618357057027145,0.0045356969132234375,0.11487075974518544,grid_wide
q_small,0.5,21.177252444180997,0.11095433001553782,0.16963781590538446,0.002974591606950613,0.09990716384289389,grid_wide
q_small,0.6,22.23241757197566,0.12529878974666045,0.18999552087653268,0.0029878136088510162,0.10578222272666785,grid_wide
q_small,0.9,26.55815338909774,0.24226590870385037,0.3211325835057711,0.004236905047342554,0.1787413442315998,grid_wide
q0.5_range,0.0,4.449128542336191,0.028982058541242854,0.13718844739647126,0.009454441899975748,0.0389820542429656,combo
q0.5_range,0.3,10.246823309612179,0.021460633970758546,0.15243023974022646,0.005753707950990515,0.06367168923536072,combo
q0.5_range,0.5,15.124390583163065,0.02527950130148643,0.13091374329862607,0.00199647354637503,0.03496385432080557,combo
q_large,0.0,7.763047356325159,0.02430415711939905,0.11458588856399425,0.003845850997241809,0.03183563679866673,combo
q_large,0.3,5.907458136191361,0.02652065405325493,0.12442697939906365,0.0059995796263597415,0.035689642426908544,combo
q_large,0.5,4.449128542336191,0.028982058541242854,0.13718844739647126,0.009454441899975748,0.0389820542429656,combo
q_large,0.6,3.725246101964719,0.030758818945045483,0.139501524555492,0.011653103322632712,0.03786041088928845,combo
q_large,0.9,3.2304761375860536,0.07450658023127295,0.17818256734354332,0.026130619501315212,0.0688911989811256,combo
q_small,0.0,7.763047356325159,0.02430415711939905,0.11458588856399425,0.003845850997241809,0.03183563679866673,combo
q_small,0.3,11.581702587298345,0.02081699344954225,0.14065255235815022,0.0042266805114878035,0.054284808751072756,combo
q_small,0.5,15.124390583163065,0.02527950130148643,0.13091374329862607,0.00199647354637503,0.03496385432080557,combo
q_small,0.6,15.759660935295337,0.027231440085041206,0.14143342792970057,0.0018359829386083155,0.03371850795789995,combo
q_small,0.9,16.359860469523003,0.051866478873949885,0.2301104739087665,0.002311113466393895,0.044019135206202736,combo
