набор,текст,условие,d(x) среднее,d(x) разброс,"d(x) разброс, одиночки","d(x) разброс, повторные",d(x) одиночки,d(x) повторные,центров
механические,8,20 чужих хапаксов,9.157026289084508,3.0494743628054355,3.1012815844198,2.813755908347387,8.830813890756266,9.751878605643034,130.33333333333334
механические,8,маркер каждые 3,9.867777294993614,3.0929299558430965,3.0308628332856067,3.174920581809191,10.014108525980909,9.495597728409955,112.0
механические,8,без пунктуации,10.470201878438274,2.8134526318550805,2.8320345827252393,2.763130199530616,10.443138936075739,10.528459156263315,127.0
механические,8,без служебных,9.205673620369167,3.614745229221102,3.8199006953290255,3.0356819786872804,9.013603922580776,9.660749018049442,131.66666666666666
механические,9,исходный,9.768505793870668,2.659089406816712,2.499652796849156,2.4327877214295066,10.442852026901617,8.402551646595937,96.66666666666667
механические,9,перемешивание,11.00770549702541,2.711466592252281,2.3322726273850747,2.8213734686852017,11.706743423275968,9.613137066995305,96.0
механические,9,эхо x2,10.199265191853776,2.3628525369166087,2.048454923098036,2.440974811597755,10.881363723599227,9.551318997534509,80.0
механические,9,эхо на четверти,9.966158226389696,2.6213035639273277,2.557269870996256,2.5271783347331205,10.406376948938373,9.338210061149999,84.33333333333333
механические,9,словарь к 25,8.10196433627717,2.836198604141143,2.6185449556579083,2.6408267218540082,9.252848841730101,7.125456271044379,61.0
механические,9,словарь к 60,9.042560005426305,2.7082857356882166,2.4987247742302263,2.4231012647531767,10.087664355931594,7.893690548865649,79.33333333333333
механические,9,все слова разные,10.827932386081613,3.0127222931180992,3.0348925954101134,2.7648882610097103,10.83631818432094,10.701397738246422,136.33333333333334
механические,9,чужие хапаксы,9.827778244428702,2.850601357346634,3.075511897486471,2.2415221597218493,9.879907348758652,9.746932643908925,97.0
механические,9,хапаксы одного домена,9.603303433413174,2.9981286084760383,3.200552966867256,2.47812512144626,9.571300116501245,9.712795567171424,94.33333333333333
механические,9,20 чужих хапаксов,9.811582791129196,2.789691160302547,2.885886769511916,2.350905911962178,10.079525639052296,9.143185296252952,95.33333333333333
механические,9,маркер каждые 3,10.451805446044991,2.588821146591154,2.5320958806248823,2.608227516478127,10.735594776954436,9.872694974040654,79.0
механические,9,без пунктуации,10.473725619041836,2.6268324799358407,2.5265491211730775,2.707808686917012,10.752746046928669,9.827164290002159,96.66666666666667
механические,9,без служебных,11.184594791907536,2.5461375253904968,2.2646935333866516,2.587424038724574,11.769609096461465,9.617617150235413,113.66666666666667
механические,10,исходный,10.398670767551613,2.964344328383984,2.9573964286827183,2.7727856963108373,10.613488088797475,9.540716083946846,134.33333333333334
механические,10,перемешивание,10.94036692104424,2.9921134517847947,3.0821986224855364,2.6188336689832963,10.966338689470996,10.853253902291561,137.66666666666666
механические,10,эхо x2,11.206049133426149,2.488786653241471,2.2981414037668086,2.5656156193553836,11.693457498927971,10.554644495553756,113.33333333333333
механические,10,эхо x4,11.02812197384707,2.2408449913886224,1.8481226944599822,2.3471901168502596,11.430930029744252,10.87899828546678,78.66666666666667
механические,10,эхо на четверти,10.65801036064414,2.8682649553039643,2.7838254681573495,3.0206852838721776,10.823480280890978,10.280734915511124,129.0
механические,10,словарь к 25,8.979256033368051,2.3485856905509483,2.2734996660332896,2.1301067894120447,9.693737794534368,8.193762568209278,65.66666666666667
механические,10,словарь к 60,9.4537198644622,2.490804680665424,2.5445898123210315,2.334260994853121,9.747193770113183,9.016370023667028,93.0
механические,10,все слова разные,9.661199303262423,3.4867127947235503,3.6491732970155275,2.389237856259181,9.506003732604057,10.424041617205098,145.33333333333334
механические,10,чужие хапаксы,9.179707471726696,3.328004711902532,3.472772396979314,2.6270415651365604,9.007470896244088,9.810330087376029,136.0
механические,10,хапаксы одного домена,8.77285490727101,3.4692540217182617,3.5730258243551583,2.7558650618511042,8.442118493814574,9.94342205111699,135.33333333333334
механические,10,20 чужих хапаксов,10.141249861233932,3.2143170071729465,3.336962263053002,2.4953730538850745,10.341012317808476,9.37916585460684,140.0
механические,10,маркер каждые 3,10.357435817936022,2.862931589354702,2.9286245888696185,2.4986829175934537,10.417944179440761,10.125099713485868,115.66666666666667
механические,10,без пунктуации,11.235559133598608,2.8717254595472,2.918727669368088,2.5602743731229807,11.313691453366317,10.889349266659556,141.0
механические,10,без служебных,9.996404606106688,3.3584963300187973,3.391183485578077,3.1974360283084464,10.05282369069784,9.757515554227174,141.0
механические,11,исходный,9.975952233904575,2.8458063871447763,2.8488437378562534,2.8205393343631955,10.073149262122362,9.755449569569329,121.0
механические,11,перемешивание,10.55159069825258,2.914426146318627,2.9847811151805477,2.606524118875434,10.755933313699543,10.080908393715356,121.66666666666667
механические,11,эхо x2,10.996015150756769,2.4660704880171114,2.3253874584529384,2.3495777598554453,11.664581063743448,10.0998656095683,101.33333333333333
механические,11,эхо x4,11.16049180029352,2.1559399348072605,1.7635752973968148,2.2496183024357466,11.886879241590153,10.732161014413412,75.33333333333333
механические,11,эхо на четверти,10.737193118501404,2.518770496653206,2.4659683469909734,2.474579829222542,11.06636757443001,10.167709971295636,107.0
механические,11,словарь к 25,8.753385009731138,2.5142148215431015,2.180497873436804,2.629747368900748,9.317528489571158,8.310856743640228,66.0
механические,11,словарь к 60,9.363247616745824,2.779104556277106,2.6773120214812085,2.7842468735500674,9.824973256775316,8.882526685410776,86.66666666666667
механические,11,все слова разные,9.508900759818816,3.2385964928918374,3.27461578789333,2.7317374042511156,9.348065437963172,10.448913877816983,138.33333333333334
механические,11,чужие хапаксы,9.221001306232766,3.751986843901958,3.858033233255378,3.286641260329027,8.812550978840727,10.161719000061154,120.0
механические,11,хапаксы одного домена,8.616649380065596,3.635268037455964,3.622256102959551,3.384326801702706,8.154154991643184,9.562551003535907,117.0
механические,11,20 чужих хапаксов,9.798393468019958,2.9963169954397575,3.117201321455079,2.6762374080796807,9.765095793571225,9.89061812956499,118.66666666666667
механические,11,маркер каждые 3,10.44337393776266,2.63772538903835,2.581418805937498,2.7267075513575576,10.610403877443234,10.008739288852366,97.0
механические,11,без пунктуации,11.414856072308927,2.487356092986523,2.4560279745556772,2.5128389319215265,11.502348207623369,11.16928574097441,117.66666666666667
механические,11,без служебных,9.497586959091445,3.4672221226966546,3.54371710221017,3.241232459502425,9.415088562128835,9.733524282003948,132.0
