текст,условие,S,C
40,чужие хапаксы,0.10024437287934902,4.388476416417529
40,хапаксы одного домена,0.11218899947353496,3.0554189873358233
40,перемешивание,0.0611990255463036,2.5709631019777253
40,эхо x4,0.10966098777233879,0.026321903270987157
40,все слова разные,0.07285511947353203,5.545273849527969
41,исходный,0.07495461655205866,6.033295310652612
41,чужие хапаксы,0.04707573883561167,6.513659064017816
41,хапаксы одного домена,0.12130421634961286,5.5840694486667175
41,перемешивание,0.05453633096920348,6.277927642337908
41,эхо x4,0.07007692624130986,0.4686749183622502
41,все слова разные,0.09596913871831203,7.333149746000736
42,исходный,0.0295371599791856,6.154223212836943
42,чужие хапаксы,0.027498715114878336,6.894370155423043
42,хапаксы одного домена,0.07775693152670637,7.263627009549938
42,перемешивание,0.039688971829734264,3.309655394406576
42,эхо x4,0.07336020230757072,0.5141301006972571
42,все слова разные,0.1012447567400631,7.091115123097862
43,исходный,0.035909177886789746,10.976121276926202
43,чужие хапаксы,0.08629054493603476,12.694170603138998
43,хапаксы одного домена,0.12212952657952862,11.996287698028242
43,перемешивание,0.08062570926556045,3.9220003883690064
43,эхо x4,0.05161179908765512,0.366744286327869
43,все слова разные,0.06990803362920935,11.094225538240776
44,исходный,0.027056824484834447,7.429143342598749
44,чужие хапаксы,0.16103320874958907,10.857017590626095
44,хапаксы одного домена,0.1071384758102446,8.121400048420858
44,перемешивание,0.06467576312868802,4.835435726329664
44,эхо x4,0.079496589990993,0.7309494558999146
44,все слова разные,0.1435493232821091,12.986058780641917
45,исходный,0.10302549511087174,3.7158763833876116
45,чужие хапаксы,0.15261342045447743,6.547310029073358
45,хапаксы одного домена,0.17554829842388972,5.135619596964513
45,перемешивание,-0.009831968359209908,2.0323085908460534
45,эхо x4,0.1012244897959184,0.11019735922314618
45,все слова разные,0.11502569284710651,10.966643235728384
46,исходный,0.018860914415595564,2.86805871141774
46,чужие хапаксы,0.058735628971557485,5.524122043024788
46,хапаксы одного домена,0.0791646761502699,6.1882189750723855
46,перемешивание,0.06837138368873286,2.605662287509738
46,эхо x4,0.06029656953110152,0.5445979595944666
46,все слова разные,0.08426709126337344,5.580451648251363
47,исходный,0.04946152047061214,4.159309702612759
47,чужие хапаксы,0.13972308286393387,7.256833658847145
47,хапаксы одного домена,0.10328134850374233,5.3399513395786045
47,перемешивание,-0.030296435349378,3.3290416328335213
47,эхо x4,0.10649888288915117,0.06173256872674369
47,все слова разные,0.047439583269849504,10.629268870264985
48,исходный,0.051824636777217416,4.370540749200749
48,чужие хапаксы,0.10996588124158461,5.360143925531651
48,хапаксы одного домена,0.11294411479201809,3.476054836121609
48,перемешивание,0.021051760767463807,3.2411562608611906
48,эхо x4,0.09090365740144335,0.9245027428577054
48,все слова разные,0.0746928363338855,6.447750588865762
49,исходный,0.02820140898732293,11.634225806828796
49,чужие хапаксы,0.05753461402247739,12.321080722022169
49,хапаксы одного домена,0.0775487487223454,13.17473728397369
49,перемешивание,-0.028653943822645855,11.512442944552014
49,эхо x4,0.060722610722610725,0.251621048798514
49,все слова разные,0.06549556581525873,13.928765709196531
