набор,текст,условие,крупный,мелкий,средний,типов
механические,26,все слова разные,24.331049591932,25.109270484209997,28.366537198986247,148.33333333333334
механические,26,чужие хапаксы,31.65115716823654,23.398567462923314,27.092213395526215,118.66666666666667
механические,26,хапаксы одного домена,35.2135540972462,16.712663544006347,31.07546691582516,109.33333333333333
механические,26,20 чужих хапаксов,45.23011041510079,14.412346572558823,27.020831125715286,112.33333333333333
механические,26,без пунктуации,40.49128504627956,21.911285352946198,30.13738871761527,111.33333333333333
механические,26,без служебных,27.21183144545667,15.721478258924696,24.932809010687976,118.66666666666667
механические,27,исходный,38.69725207550601,21.421900186399174,30.409483462458677,130.0
механические,27,перемешивание,31.757236162025162,24.787696383650886,32.2505721652208,130.0
механические,27,эхо x2,37.867870583892675,22.872872559695875,34.86563709991007,119.0
механические,27,эхо на четверти,33.57055204005541,22.104070969321587,29.249167293018782,126.0
механические,27,все слова разные,22.90123664512862,25.982899004127475,28.058762103072812,145.0
механические,27,чужие хапаксы,24.419246484652785,32.448890537192646,29.47084720149609,135.33333333333334
механические,27,хапаксы одного домена,27.30463436509363,29.522723245505233,32.78763812127414,135.66666666666666
механические,27,20 чужих хапаксов,32.48422597342876,24.614906756856936,29.85049765814587,134.66666666666666
механические,27,маркер каждые 3,35.55003295538885,26.437304226863247,31.39683111322033,111.66666666666667
механические,27,без пунктуации,38.59762392268821,23.706286021289205,35.0607304098497,138.33333333333334
механические,27,без служебных,26.225150946429064,23.005907299916757,28.485182453944812,142.33333333333334
механические,28,исходный,22.135052637416866,15.810039826444873,23.104310365277186,118.66666666666667
механические,28,перемешивание,25.893336898731462,21.114294471591208,26.533143619764,119.33333333333333
механические,28,эхо x2,22.672926441295132,18.921557474594444,24.578485513373316,101.0
механические,28,эхо на четверти,24.180563065640598,18.959381560698557,25.26472379293698,106.33333333333333
механические,28,словарь к 60,24.331367197263177,17.13822109347346,21.68696301830369,109.66666666666667
механические,28,все слова разные,22.465072090183032,30.81291356226737,28.5238894224622,134.66666666666666
механические,28,чужие хапаксы,22.794712281572988,20.424511351756436,23.35243406327938,115.0
механические,28,хапаксы одного домена,23.26748136136706,21.25417020425864,24.005502087836877,114.33333333333333
механические,28,20 чужих хапаксов,22.23568493808344,19.0714132709308,23.377178193307714,116.33333333333333
механические,28,маркер каждые 3,22.243688868031384,23.963836365428712,24.277078024519714,101.5
механические,28,без пунктуации,30.026924948698696,21.236554757804132,30.541006853350837,113.33333333333333
механические,28,без служебных,19.29283371318639,17.798493627487435,20.172554435134785,120.0
механические,29,исходный,30.821045026853298,18.849840172721443,34.46321431534777,132.66666666666666
механические,29,перемешивание,28.430679290547914,19.079061218056196,30.265359236771644,130.66666666666666
механические,29,эхо x2,36.87977874381071,20.221011129370883,34.50443059056104,115.66666666666667
механические,29,эхо на четверти,29.859519214516855,18.75508493294279,34.50762926848244,131.33333333333334
механические,29,словарь к 60,31.192423219626058,19.5597347871499,31.64412353627805,104.5
механические,29,все слова разные,27.484796346813024,25.83823343445901,34.49851253898289,139.66666666666666
механические,29,чужие хапаксы,25.9528970926048,37.363479988137826,32.71061051480341,131.0
механические,29,хапаксы одного домена,26.924857075380178,23.47347013812572,30.988627396715316,132.33333333333334
механические,29,20 чужих хапаксов,28.762463247194585,24.31480082956418,33.487179661614874,132.33333333333334
механические,29,маркер каждые 3,51.22634956693617,21.657344165568002,49.251809874713445,109.0
механические,29,без пунктуации,47.09461483846396,24.104505058745747,35.95197770527589,135.33333333333334
механические,29,без служебных,25.97794499383389,21.63595405492686,29.934661065006637,147.33333333333334
механические,30,исходный,31.918962077044654,17.99641574423278,27.486912655016983,118.33333333333333
механические,30,перемешивание,43.601547576867915,28.717273821707305,49.86660871619349,118.0
