текст,условие,зерно,как есть: крупный,как есть: мелкий,как есть: средний,без оси: крупный,без оси: мелкий,без оси: средний,без случайного: крупный,без случайного: мелкий,без случайного: средний
14,перемешивание,2,14.143074038572662,6.391836104332464,13.415281281622622,14.39266005030361,6.3870412197305395,13.583952794509386,14.144405503849418,6.392148204599804,13.41639011537391
15,исходный,0,22.37988031978046,4.048529201188939,17.05834890994219,22.31980580423854,4.050337841142401,17.14103310910233,22.366327468519145,4.049639984501731,17.061081441680294
15,исходный,1,23.169950067948484,3.8084461950799446,17.181091979852177,23.19577184221222,3.8108717229564837,17.242727234243105,23.18698088849969,3.8093600840515274,17.190503574971274
15,исходный,2,20.159076233599095,4.008072900636721,17.124077680177887,20.063166165270964,4.006906966950952,17.14872581607995,20.18049574688108,4.0084495139047265,17.13728114156901
15,чужие хапаксы,0,17.23004463492031,4.111957295229707,15.37700343369005,17.410020894567776,4.096916583072702,15.453349848072468,17.241102799846292,4.112546593802093,15.373340020649
15,чужие хапаксы,1,17.993529155359628,4.408489262746217,15.495302656818945,18.167709420089455,4.406568263224625,15.638852078061271,18.00164027608617,4.4089794638862765,15.494204040214168
15,чужие хапаксы,2,16.494699100526944,4.580579236676985,15.048404979765285,16.577800148998374,4.571108491997445,15.096615333933078,16.494296623755318,4.581048522460683,15.043172147006214
15,перемешивание,0,21.3817344206499,6.172357088150144,17.397093573629878,22.09475601068807,6.160268033995775,17.603416245803757,21.39200757029976,6.17225156398745,17.39946056988807
15,перемешивание,1,19.389402705482883,5.794073399084941,17.306169681091323,20.033292137450033,5.795113902096998,17.61815768988315,19.392739461593667,5.794568551448283,17.304418017439453
15,перемешивание,2,19.735322233776017,5.3843891315236,17.509022341877504,20.360062656509562,5.358712234001357,17.760407893312724,19.758734598286633,5.382978484948475,17.50922197133852
16,исходный,0,18.52966814020188,4.639854078166296,15.72210026894302,18.72984621404322,4.631142061515105,15.90106029541351,18.515107327919477,4.640745554621434,15.722576457309776
16,исходный,1,20.07967374198553,5.220986204511488,17.423023334478685,20.100261544974583,5.2097512595607585,17.496900510070013,20.067085427571037,5.220139460803177,17.4159568194253
16,исходный,2,20.252956630314586,5.381740197793721,17.698495734117756,20.36067335895221,5.378535551302206,17.820593232836828,20.234825224159913,5.38224108947294,17.696168308635475
16,чужие хапаксы,0,16.304437751116733,5.067853089985385,16.023722006553275,16.53678406651607,5.040003945123219,16.195977449606705,16.31023913663558,5.06890346596626,16.02998646836449
16,чужие хапаксы,1,17.821229893654007,5.516445520899943,17.300347974690112,17.894685094471257,5.511908729724101,17.333962921603817,17.820347119542234,5.5170705979195045,17.30144452332264
16,чужие хапаксы,2,16.022424170372002,5.915758336832326,15.668104289803765,16.14284503060661,5.9090316842012625,15.724080784051713,16.02992611009143,5.916461838938598,15.6716711574827
