набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,12,эхо x4,0.7932980748777787,0.0810898288983188,0.2730765689663126,0.6583333333333333
механические,12,эхо на четверти,0.7601573086667829,0.09625818951705262,0.3921798297307704,0.4533333333333333
механические,12,словарь к 25,0.7665854029285271,0.09415717987975143,0.44198969470416727,0.6333333333333333
механические,12,словарь к 60,0.7521583778015305,0.09968483474480905,0.4277485246521022,0.5466666666666666
механические,12,все слова разные,0.7273930585762459,0.1087862756696442,0.4120062337134996,0.2916666666666667
механические,12,чужие хапаксы,0.7277680018784703,0.12545434726274693,0.4133247411190422,0.405
механические,12,хапаксы одного домена,0.7356379688430992,0.11926150328806544,0.4074561442400996,0.39999999999999997
механические,12,20 чужих хапаксов,0.7490386578101408,0.10213488908036095,0.4039325700610576,0.4066666666666667
механические,12,маркер каждые 3,0.7835062448264404,0.08860631650316574,0.413619505767233,0.5066666666666667
механические,12,без пунктуации,0.7580943188644936,0.08943069688309203,0.4483776897144834,0.43166666666666664
механические,12,без служебных,0.7310520352179872,0.10167092112641558,0.397193345451928,0.42
механические,13,исходный,0.7299448198025238,0.08958283144965044,0.42462044214940686,0.35000000000000003
механические,13,перемешивание,0.7268920437560373,0.08658893988314154,0.4657855501412953,0.3933333333333333
механические,13,эхо x2,0.7585958523205102,0.08038843694762708,0.39386294124970056,0.4066666666666667
механические,13,эхо x4,0.7733032946009755,0.07577753275952688,0.3163009351255102,0.47833333333333333
механические,13,эхо на четверти,0.733373633921032,0.09451350524045445,0.40316577765605466,0.38000000000000006
механические,13,словарь к 25,0.7538622535055005,0.11382152155267028,0.4157605403517415,0.6483333333333333
механические,13,словарь к 60,0.7423834884336672,0.09757018899187526,0.4328550543707799,0.535
механические,13,все слова разные,0.6933965636714765,0.12377241530504468,0.40829204113867995,0.32666666666666666
механические,13,чужие хапаксы,0.7014988134396557,0.11560067524538396,0.4191327144990144,0.35333333333333333
